Dates,EE0003M Index,US0003M Index,AGGR,ULTR,SHOR,INTE,PREF,MORT,LONG,INFL,INVE,HIGH,CONV,CORP,MUNI,GOVE,BANK
06/05/2020,-0.217,0.44763,510.9991,3.0017,474.2704,-8.8127,-5.0001,66.3185,-34.7346,79.8316,999.5706,-179.1321,26.7011,36.2063,36.2063,110.0123,-13.269
07/05/2020,-0.24243,0.43463,435.456,5.8321,144.2397,151.9506,6.4285,66.2897,-48.4761,206.5814,694.2855,374.6368,26.7011,178.497,178.497,29.8986,4.1925
11/05/2020,-0.22457,0.4335,444.2273,-45.7965,114.5998,-53.2133,51.7642,107.5515,-278.7214,-33.2054,-221.9834,140.2359,9.5265,25.5057,25.5057,57.1974,37.8873
12/05/2020,-0.23071,0.424,573.9531,38.905,296.2403,-62.7511,6.5003,24.1268,-62.9773,120.468,699.4171,246.3106,9.5265,478.9101,478.9101,44.1599,-3.136
13/05/2020,-0.24329,0.39238,629.097,8.5435,145.0629,462.3222,-9.1298,41.7465,34.7971,53.1954,1570.616,-1012.951,10.7104,-562.2265,-562.2265,133.319,-34.7252
14/05/2020,-0.258,0.38563,318.5022,139.2144,361.9631,221.7233,6.7743,15.6538,67.5571,60.6012,552.6902,-337.4294,10.7104,-615.3727,-615.3727,164.9805,-52.5883
15/05/2020,-0.263,0.3805,606.1455,65.2569,284.8927,661.9037,-18.0062,11.4547,7.6741,60.7097,2027.286,26.4529,10.7104,1109.9,1109.9,120.0475,-62.9786
18/05/2020,-0.26586,0.37663,-406.3618,272.5177,307.7249,192.6937,6.5109,5.325,358.3717,176.841,1097.313,1181.347,10.9594,2067.205,2067.205,113.3704,12.5829
19/05/2020,-0.29186,0.37413,-324.2689,75.8855,431.1287,151.3906,21.1942,5.325,-55.2237,68.6138,611.3496,484.8728,-10.9309,1445.115,1445.115,156.5002,-6.46
20/05/2020,-0.30886,0.358,511.8477,-184.2913,191.3554,371.1204,74.0301,27.4445,-153.8591,28.7711,892.1573,1190.223,16.5736,2078.201,2078.201,177.7995,16.8105
21/05/2020,-0.31086,0.3595,582.19,96.953,582.7829,375.1227,26.2367,38.6864,68.5864,58.2421,1712.104,990.8749,16.5736,2033.898,2033.898,50.1707,44.314
22/05/2020,-0.32314,0.36925,528.7311,215.9504,374.8985,273.0137,12.2104,19.957,29.3385,71.6467,1190.477,246.9037,16.5736,787.4874,787.4874,17.5802,44.314
26/05/2020,-0.322,0.37125,639.7354,191.8438,172.4895,131.4139,32.8215,15.918,43.4274,85.7365,1564.045,1283.063,61.6499,2122.424,2122.424,64.645,68.263
27/05/2020,-0.33471,0.3625,616.6889,-515.4092,576.628,467.8473,22.26,108.5836,-51.9202,32.1658,912.5419,-326.5893,40.2587,143.8927,143.8927,98.031,32.1165
28/05/2020,-0.34714,0.35,1004.046,-312.0326,483.8394,469.2681,65.6322,187.4625,-342.9451,63.4854,1486.21,471.3356,42.0363,1268.461,1268.461,206.2668,30.0366
29/05/2020,-0.34657,0.344,951.4525,-191.4155,97.5036,390.4189,29.7364,224.3146,-56.98,5.7313,1460.133,-246.107,42.0363,707.2327,707.2327,142.9079,-7.965
01/06/2020,-0.35,0.33713,617.8943,-185.3135,484.925,-453.4683,26.5276,32.905,-56.1088,204.7057,1016.779,1494.947,11.5066,2424.716,2424.716,127.5725,8.5925
02/06/2020,-0.367,0.3305,577.6526,-404.6505,425.8921,819.4087,16.3142,2.6945,-73.9273,21.1168,1889.262,1599.271,11.5066,3330.339,3330.339,164.6115,33.3965
03/06/2020,-0.36129,0.32663,587.4248,-64.1201,673.7923,1090.656,20.2075,32.2636,-44.3814,47.1743,2419.958,1508.996,108.288,3217.962,3217.962,182.5161,76.7619
04/06/2020,-0.35471,0.31763,649.9353,-166.7735,316.0779,659.1253,7.9414,32.0854,-252.8789,80.7736,1153.055,517.5927,20.4534,1029.43,1029.43,102.6596,47.9032
05/06/2020,-0.37843,0.31288,375.1083,-47.8265,-140.6627,-456.4524,28.9448,10.7277,16.7493,97.818,-287.33,1542.729,11.8398,1889.945,1889.945,81.3504,56.9763
08/06/2020,-0.381,0.30975,462.5115,-537.8075,-286.0926,-71.2668,61.8227,48.3996,-149.6481,33.0447,-469.0043,-300.7438,11.8398,-15.1832,-15.1832,84.0437,43.6865
09/06/2020,-0.37886,0.31463,327.0315,-473.8523,-254.697,420.2507,23.5393,62.245,68.5602,-525.1487,-62.3351,-405.7934,104.7529,290.4473,290.4473,225.3492,-6.6912
10/06/2020,-0.37171,0.31838,333.0717,-444.3318,61.8418,996.0006,21.7033,44.207,92.1693,-346.6238,1277.126,-15.0336,-107.646,990.0995,990.0995,466.6587,-6.6912
11/06/2020,-0.37743,0.31338,227.1044,-206.5774,-358.6664,517.5488,-22.9288,37.406,-35.3208,4.7531,-1055.004,-863.5109,-69.6668,-1150.006,-1150.006,-3.2522,-184.0277
12/06/2020,-0.39229,0.32088,-140.937,459.656,-420.9123,196.4141,-121.6643,74.0904,21.6448,-17.1613,1039.556,-152.3581,11.6284,402.7745,402.7745,22.0043,-143.0318
15/06/2020,-0.39414,0.299,510.3341,167.289,289.0495,485.3697,-40.4158,23.5595,30.8123,90.3998,1431.129,574.8765,11.7841,1246.41,1246.41,69.8372,-2.1991
16/06/2020,-0.40029,0.30788,62.3476,-140.5736,506.1276,416.6802,11.1957,40.807,435.3609,53.0472,1748.973,807.9418,11.7841,2118.175,2118.175,19.4174,-2.1991
17/06/2020,-0.40743,0.31625,483.9709,339.1,202.3388,777.0982,11.115,11.4727,25.9628,91.6868,2135.573,-120.9892,17.9796,917.1561,917.1561,41.762,31.5938
18/06/2020,-0.40771,0.30638,498.8144,173.5392,491.6193,564.369,8.1043,7.711,562.1795,243.5495,1680.456,-570.9858,12.0052,113.8938,113.8938,17.1113,14.1769
19/06/2020,-0.41457,0.30513,487.7728,58.0696,257.0248,700.8396,11.3057,15.4943,92.3537,427.424,1851.147,-185.224,36.0152,655.6782,655.6782,-24.5202,-4.3284
22/06/2020,-0.40971,0.29663,289.7003,-172.0767,327.3468,228.1183,-61.674,2.5835,-100.9472,230.0303,762.946,8.8161,18.0937,674.318,674.318,143.5586,17.2582
23/06/2020,-0.40571,0.29688,680.8993,333.5334,454.1277,562.5277,3.3675,38.4368,180.4886,802.6193,2860.295,124.413,36.243,910.6087,910.6087,114.7457,-7.6758
24/06/2020,-0.40143,0.28375,716.3532,89.8356,279.4134,-711.4797,5.9191,143.806,28.3463,564.9258,950.0653,-751.6573,29.5757,3.7828,3.7828,145.1045,-58.0082
25/06/2020,-0.38571,0.306,651.447,89.8772,368.413,57.0243,-1.835,14.1396,25.5414,524.5124,1625.637,-577.3829,12.2532,104.1015,104.1015,77.116,-73.1829
26/06/2020,-0.39186,0.30788,466.673,30.1942,485.1824,352.3363,3.4199,7.707,532.7847,11.3724,1776.476,-326.1652,12.2532,-58.2654,-58.2654,86.1314,-0.0923
29/06/2020,-0.42829,0.29613,582.8442,98.3751,412.7019,3457.051,25.7361,69.2157,117.2637,37.3347,4935.204,-2412.244,41.9675,-1744.645,-1744.645,229.6889,1.976
30/06/2020,-0.422,0.302,337.2783,-1.0735,84.2543,650.2965,23.4133,11.7036,145.7298,294.8141,1708.22,123.358,72.2836,841.0184,841.0184,53.2812,18.8596
01/07/2020,-0.41129,0.2985,377.1946,-144.4839,275.793,1312.586,20.2314,5.0853,41.1913,382.5662,2366.539,196.4588,14.128,1172.708,1172.708,110.6522,15.6871
02/07/2020,-0.39886,0.30375,343.6859,-10.3599,235.7144,530.1069,21.2966,7.8765,323.9613,184.6325,1787.04,356.3312,14.128,1293.748,1293.748,65.9707,22.1903
03/07/2020,-0.42329,0.27588,343.6859,-10.3599,235.7144,530.1069,21.2966,7.8765,323.9613,184.6325,1787.04,356.3312,14.128,1293.748,1293.748,65.9707,22.1903
06/07/2020,-0.43514,0.2765,560.4336,-271.6226,117.6845,568.8327,14.3284,6.6453,222.8642,85.9985,1458.641,517.3631,14.3295,1132.422,1132.422,171.6139,27.9165
07/07/2020,-0.42786,0.26838,1000.44,-168.2195,412.2201,215.3227,-6.3166,12.0178,196.7656,178.7013,1679.798,328.6386,12.455,744.0027,744.0027,149.989,-6.8441
08/07/2020,-0.43157,0.27288,663.9111,-244.1522,36.1444,184.2213,25.7389,16.1279,298.9199,94.6405,1282.87,-232.6185,12.455,315.0709,315.0709,41.0998,-49.3546
09/07/2020,-0.43929,0.26625,520.2218,-176.3928,162.3837,136.8097,24.9595,6.5355,-129.7894,61.844,370.3851,-133.1654,12.6492,-100.1672,-100.1672,117.0061,-33.1573
10/07/2020,-0.43814,0.26813,349.2292,-108.103,201.1334,208.0081,5.9672,9.3823,44.7162,91.8382,545.5161,175.4403,19.1592,196.1472,196.1472,101.8556,-4.3389
13/07/2020,-0.44114,0.275,553.7046,10.5535,59.6846,90.1065,1.171,7.787,109.2276,-6.1006,805.8636,401.6506,12.5301,749.4766,749.4766,42.6071,-4.3389
14/07/2020,-0.43914,0.27088,395.0041,22.9295,213.7853,229.8111,-2.5697,5.9145,71.5648,148.623,745.3141,65.2047,12.5301,180.7384,180.7384,11.3435,-4.3389
15/07/2020,-0.45471,0.27288,804.161,-329.9228,-68.6285,238.6024,21.4832,1.3394,359.4364,6.1494,598.3056,199.0309,-12.7367,230.7609,230.7609,70.7696,7.925
16/07/2020,-0.45171,0.27175,734.0659,-68.3388,270.376,506.3867,14.8253,18.7161,-288.6474,138.7023,979.2659,553.8144,-12.7367,885.0063,885.0063,99.7088,12.6526
17/07/2020,-0.44414,0.27138,488.4788,-21.4462,55.8084,226.51,13.2057,1.3397,-324.5119,35.3167,347.2428,-26.4425,12.6753,310.3172,310.3172,111.5596,36.6993
20/07/2020,-0.44114,0.25775,438.7294,-117.1513,357.1687,182.5828,18.4219,14.7358,497.879,71.495,1542.668,816.3137,12.9449,1074.777,1074.777,313.812,9.1121
21/07/2020,-0.445,0.2555,586.9096,-27.2585,178.1914,208.9254,603.8209,152.8398,86.7356,107.7359,1654.409,1017.53,12.9449,1437.004,1437.004,69.1273,9.1121
22/07/2020,-0.43643,0.2635,464.9709,-132.054,378.2784,267.5714,593.545,46.458,55.0065,70.1568,1457.897,208.8998,-12.93,432.3669,432.3669,191.125,10.849
23/07/2020,-0.437,0.2445,727.2735,127.2173,222.597,250.8946,-550.0531,-5.7273,83.5259,65.9334,530.4226,-96.4517,12.7711,133.6415,133.6415,87.6545,-1.596
